text,state
I want to open a coffee bookstore somewhere in Oregon and I'm trying to find the best place to do it.  I'm looking for a place with many people in their 20s and 30s.,OR
"hi, I have been looking at moving to Massachusetts to carry out my career as a dog trainer. I'm looking for a public-transit friendly area to open my business",MA
"If I were to open a restaurant in Maryland, where would you open one that is in a walkable area?",MD
I'm looking to open a high quality bread/pastry bakery in a safe area in Kansas.,KS
I am making the move to New Jersey. I'm looking for a place with a good bike score.,NJ
We are moving to Florida. We are looking for communities who are at their retirement age,FL
We are planning to move to Ohio. We are looking for an affordable area.,OH
We are looking to move to Michigan. We are looking for a small town.,MI
I'm visiting Wyoming. I am interested in visiting wildlife habitats and am looking to find places to stay nearby these sites.,WY
I'll be touring Arkansas. I'm interested in visiting its state parks and am looking to find places to stay nearby these sites.,AR
I'm visiting Alabama. I'd like to find public fishing ponds to visit and am looking to find places to stay nearby these sites.,AL
We are visiting Tennessee. We're interested in visiting places of historical heritage and also looking to find places to stay nearby these sites.,TN
