text,state
I want to open a coffee bookstore somewhere in Oregon and I'm trying to find the best city to do it.,OR
"hi, I have been looking at moving to Massachusetts to carry out my career as a dog trainer.",MA
"If I were to open a restaurant in Maryland, where would you open one?",MD
I'm looking to open a high quality bread/pastry bakery in Kansas.,KS
I am making the move to New Jersey.,NJ
We are moving to Florida.,FL
We are planning to move to Ohio.,OH
We are looking to move to Michigan.,MI
I'm visiting Wyoming. I'm looking for a place to stay.,WY
I'll be touring Arkansas. I'm looking for a place to stay.,AR
I'm visiting Alabama. I'm looking for a place to stay.,AL
We are visiting Tennessee. I'm looking for a place to stay.,TN
